code,parent_code,name,possibility,medical_reasoning
"3B62.5,3B62,Haemophagocytic syndrome associated with infection",,,Possible,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), lymphocyte percent (LBXLYPCT), and monocyte percent (LBXMOPCT), which are critical for identifying hemophagocytic syndrome. These features can help assess the likelihood of the syndrome by indicating immune activation and cytopenias associated with infections. However, the absence of specific infectious markers or imaging studies limits the depth of assessment."
"3B62.Y,3B62,Other specified qualitative platelet defects",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are essential for assessing qualitative platelet defects. These features can help identify abnormalities in platelet function and morphology, allowing for a meaningful screening approach."
"3B62.Z,3B62,Qualitative platelet defects, unspecified",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are essential for assessing qualitative platelet defects. These features can help identify abnormalities in platelet function and morphology, allowing for a meaningful screening approach."
"3B63.0,3B63,Congenital thrombocytosis",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytosis. These features can help identify elevated platelet levels indicative of congenital thrombocytosis, allowing for a meaningful screening approach."
"3B63.1,3B63,Acquired thrombocytosis",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytosis. Additionally, white blood cell count (LBXWBCSI) can help differentiate between reactive and primary causes of thrombocytosis, thus enabling a meaningful screening approach."
"3B63.10,3B63,Secondary thrombocytosis",,,Possible,"Secondary thrombocytosis can be assessed using the platelet count (LBXPLTSI) and other hematological parameters such as white blood cell count (LBXWBCSI) and red blood cell indices. These features allow for the identification of thrombocytosis and potential underlying causes, thus enabling screening and likelihood assessment."
"3B63.1Y,3B63,Other specified acquired thrombocytosis",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytosis. Additionally, white blood cell count (LBXWBCSI) and other hematological parameters can help differentiate the underlying causes of thrombocytosis, thus enabling a meaningful screening approach."
"3B63.1Z,3B63,""Acquired thrombocytosis, unspecified""",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytosis. Additionally, white blood cell count (LBXWBCSI) can help differentiate between reactive and primary causes of thrombocytosis. Other hematological parameters such as hemoglobin (LBXHGB) and red blood cell count (LBXRBCSI) can provide further context. No essential signals are missing for screening."
"3B63.Y,3B63,Other specified thrombocytosis",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytosis. Additionally, white blood cell count (LBXWBCSI) can help rule out other hematological conditions. These features can be used to build a probabilistic model for screening thrombocytosis."
"3B63.Z,3B63,""Thrombocytosis, unspecified""",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytosis. Additionally, white blood cell count (LBXWBCSI) and other hematological parameters can help differentiate causes of thrombocytosis, allowing for a meaningful screening approach."
"3B64.0,3B64,Congenital thrombocytopenia",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. Additionally, the complete blood count parameters (e.g., white blood cell count, red blood cell count) can help rule out other hematological conditions. However, genetic testing or specific markers for congenital thrombocytopenia are not available, but the existing features allow for a reasonable screening approach."
"3B64.00,3B64,Congenital non-inherited thrombocytopenia",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. These features can help identify low platelet levels indicative of congenital non-inherited thrombocytopenia, allowing for a meaningful screening approach."
"3B64.01,3B64,Hereditary thrombocytopenia",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. These features can help identify low platelet levels indicative of hereditary thrombocytopenia, allowing for a meaningful screening approach."
"3B64.0Z,3B64,""Congenital thrombocytopenia, unspecified""",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. These features can help identify low platelet levels indicative of congenital thrombocytopenia, allowing for a meaningful screening approach."
"3B64.1,3B64,Acquired thrombocytopenia",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. Additionally, white blood cell count (LBXWBCSI) and other hematological parameters can help differentiate causes of acquired thrombocytopenia, allowing for a meaningful screening approach."
"3B64.10,3B64,Immune thrombocytopenic purpura",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia in immune thrombocytopenic purpura (ITP). Additionally, white blood cell count (LBXWBCSI) and hemoglobin (LBXHGB) can help rule out other hematological conditions. These features can support a probabilistic model for screening ITP."
"3B64.11,3B64,Secondary thrombocytopenic purpura",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. Additionally, white blood cell count (LBXWBCSI) and other hematological parameters can help differentiate causes of secondary thrombocytopenic purpura."
"3B64.12,3B64,Drug-induced thrombocytopenic purpura",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. Additionally, white blood cell count (LBXWBCSI) and other hematological parameters can help evaluate the overall blood profile, supporting the screening for drug-induced thrombocytopenic purpura."
"3B64.13,3B64,Alloimmune thrombocytopenia",,,Not Possible,"Alloimmune thrombocytopenia requires specific tests for platelet antibodies or HLA typing, which are not included in the available features. The available features do not provide sufficient information to screen or assess the likelihood of this condition."
"3B64.14,3B64,Thrombotic thrombocytopenic purpura",,,Not Possible,"Key signals for thrombotic thrombocytopenic purpura (TTP) include ADAMTS13 activity and inhibitor levels, as well as specific clinical features like schistocytes on a blood smear. The available NHANES features do not include these essential tests or clinical indicators necessary for screening or likelihood assessment of TTP."
"3B64.1Y,3B64,Other specified acquired thrombocytopenia",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. Additionally, white blood cell count (LBXWBCSI) and other hematological parameters can help differentiate causes of thrombocytopenia, thus enabling a meaningful screening approach."
"3B64.Z,3B64,""Thrombocytopenia, unspecified""",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. Additionally, white blood cell count (LBXWBCSI) and other hematological parameters can help differentiate causes of thrombocytopenia, allowing for a meaningful screening approach."
"3B65,3B65,""Thrombotic microangiopathy, not elsewhere classified""",,,Not Possible,"Key signals for thrombotic microangiopathy, such as ADAMTS13 activity, anti-ADAMTS13 antibodies, and specific imaging studies, are missing. The available features do not provide sufficient information to screen or assess likelihood effectively."
"3B6Y,3B6Y,""Other specified coagulation defects, purpura or other haemorrhagic or related conditions""",,,Not Possible,"Key signals for screening coagulation defects, such as specific coagulation factor levels (e.g., factor VIII, factor IX), platelet function tests, or genetic markers, are missing. The available features do not provide sufficient information to assess coagulation status or bleeding risk effectively."
"3B6Z,3B6Z,""Coagulation defects, purpura or other haemorrhagic or related conditions, unspecified""",,,Possible,"The available features include key hematological parameters such as platelet count (LBXPLTSI), hemoglobin (LBXHGB), and white blood cell count (LBXWBCSI), which can help identify coagulation defects and related hemorrhagic conditions. However, the absence of specific coagulation factors or tests (e.g., PT, aPTT, or specific factor assays) limits the ability to fully characterize the coagulation status. Nonetheless, the existing features can still provide a reasonable basis for screening and assessing likelihood."
"3B80.0,3B80,Splenomegaly in storage diseases",,,Not Possible,"Key signals for screening splenomegaly in storage diseases, such as imaging studies (e.g., ultrasound, CT scan) and specific biochemical markers (e.g., enzyme levels related to specific storage diseases), are missing. The available features do not provide sufficient information to assess the likelihood of splenomegaly effectively."
"3B81.0,3B81,Tumour-like conditions of spleen",,,Not Possible,"Key diagnostic signals such as imaging studies (e.g., ultrasound, CT scan) or specific biomarkers related to splenic tumors are not available in the listed features, making screening for tumor-like conditions of the spleen infeasible."
"3B81.1,3B81,Postsurgical asplenia",,,Not Possible,"Key signals for assessing postsurgical asplenia, such as specific immunological markers (e.g., antibody responses, vaccination status) and clinical history of infections, are missing. The available features do not provide sufficient information to screen for the complications associated with asplenia."
"3B81.2,3B81,Atrophy of spleen",,,Not Possible,"Key signals for assessing splenic atrophy, such as imaging studies (e.g., ultrasound, CT scan) or specific biomarkers related to splenic function, are missing. The available hematological features do not provide sufficient information to screen for atrophy of the spleen."
"3B81.3,3B81,Nontraumatic laceration or rupture of spleen",,,Not Possible,"Key features such as imaging studies (e.g., ultrasound or CT scan) to identify splenic laceration or rupture are missing. Additionally, clinical signs of splenic injury (e.g., abdominal pain, hypotension) and specific laboratory tests (e.g., hemoglobin drop, lactate levels) that indicate splenic rupture are not available."
"3B81.4,3B81,Splenosis",,,Not Possible,"Key signals for diagnosing splenosis, such as imaging studies (e.g., ultrasound, CT scan) or specific genetic markers, are not available in the listed features. The available hematological parameters do not provide sufficient information to screen for splenosis effectively."
"3B81.5,3B81,Splenic cyst or pseudocyst",,,Not Possible,"Key imaging features (e.g., ultrasound or CT scans) necessary for diagnosing splenic cysts or pseudocysts are not available in the listed NHANES features."
"3B81.50,3B81,Pseudocyst of spleen",,,Not Possible,"Key imaging studies (e.g., ultrasound or CT scan) and specific laboratory tests (e.g., serum amylase or lipase) that are essential for diagnosing and screening pseudocysts of the spleen are not available in the listed features."
"3B81.51,3B81,Epithelial cyst of spleen",,,Not Possible,"Epithelial cysts of the spleen typically require imaging studies (e.g., ultrasound, CT scan) for diagnosis, which are not included in the available NHANES features. The listed features primarily assess hematological and biochemical parameters, which do not provide the necessary information for screening or likelihood assessment of this specific condition."
"3B81.5Y,3B81,Other specified splenic cyst",,,Not Possible,"Key imaging features (e.g., ultrasound or CT scans) necessary for diagnosing splenic cysts are missing, as well as specific laboratory markers that could indicate splenic pathology."
"3B81.5Z,3B81,""Splenic cyst, unspecified""",,,Not Possible,"Key imaging features (e.g., ultrasound or CT scans) necessary for diagnosing splenic cysts are not available, making screening for this condition infeasible."
"3B81.6,3B81,Infarction of spleen",,,Not Possible,"Key signals for screening splenic infarction, such as imaging studies (e.g., ultrasound or CT scan) and specific clinical history (e.g., sickle cell disease, thrombosis), are missing. The available hematological features do not provide sufficient information to assess the likelihood of splenic infarction."
"3B81.7,3B81,Infection of spleen",,,Not Possible,"Key signals for screening splenic infections, such as imaging studies (ultrasound, CT) or specific serological tests for pathogens, are missing. The available features primarily assess hematological parameters and do not provide sufficient information to screen for splenic infections."
"3B81.70,3B81,Acute septic splenitis",,,Possible,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), lymphocyte percent (LBXLYPCT), and neutrophil percent (LBXNEPCT), which are critical for identifying infections and inflammatory processes like acute septic splenitis. These features can help establish a likelihood assessment for the disease based on typical laboratory findings associated with sepsis."
"3B81.71,3B81,Abscess of spleen",,,Not Possible,"Key diagnostic signals for splenic abscess, such as imaging studies (e.g., ultrasound, CT scan) and clinical signs of infection, are missing. While some hematological parameters (e.g., white blood cell count) may suggest infection, they are insufficient for screening or triaging splenic abscess specifically."
"3B81.7Y,3B81,Other specified infection of spleen",,,Not Possible,"Key signals for screening infections of the spleen, such as imaging studies (e.g., ultrasound, CT scan) or specific serological tests for pathogens, are missing. The available features primarily assess hematological parameters and do not provide sufficient information to screen for splenic infections."
"3B81.7Z,3B81,""Infection of spleen, unspecified""",,,Possible,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), lymphocyte percent (LBXLYPCT), and monocyte percent (LBXMOPCT), which can indicate an infection. These features can help in screening for splenic infections by assessing the immune response and inflammatory markers, thus allowing for a probabilistic model to estimate disease likelihood."
"3B81.8,3B81,Torsion of spleen",,,Not Possible,"Torsion of the spleen typically requires imaging studies (e.g., ultrasound or CT scan) for diagnosis, which are not included in the available features. The listed hematological features do not provide sufficient information to screen for this condition."
"3B81.9,3B81,Fibrosis of spleen",,,Not Possible,"Key signals for screening fibrosis of the spleen, such as imaging studies (e.g., ultrasound, CT scan) or specific biomarkers (e.g., liver function tests indicating portal hypertension), are not available in the listed features."
"3B81.A,3B81,Perisplenitis",,,Not Possible,"Perisplenitis typically requires imaging studies (e.g., ultrasound or CT scan) to assess splenic inflammation, which are not available in the listed features. Additionally, specific clinical history and physical examination findings are crucial for diagnosis, which cannot be captured through the available laboratory measurements alone."
"3B81.B,3B81,Hypersplenism",,,Possible,"Key hematological features such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI) are available, which can help assess splenic function and potential hypersplenism. However, the absence of direct measures of splenic size or function limits the assessment's specificity."
"3B81.C,3B81,Chronic congestive splenomegaly",,,Not Possible,"Chronic congestive splenomegaly requires imaging studies (e.g., ultrasound, CT) or specific biomarkers related to splenic function and portal hypertension, which are not available in the listed features."
"3B81.Y,3B81,Other specified acquired disorders of spleen",,,Not Possible,"Key signals for assessing splenic disorders, such as imaging studies (e.g., ultrasound, CT scan) or specific laboratory tests (e.g., splenic function tests, genetic markers), are missing. The available features primarily assess blood parameters and do not provide sufficient information to screen for acquired disorders of the spleen."
"3B81.Z,3B81,""Acquired disorders of spleen, unspecified""",,,Possible,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), lymphocyte percent (LBXLYPCT), and hemoglobin (LBXHGB), which can indicate splenic dysfunction or disorders. These features can help in screening for acquired disorders of the spleen by assessing blood cell counts and morphology, which are relevant in evaluating splenic function."
"3B8Z,3B8Z,""Diseases of spleen, unspecified""",,,Possible,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), lymphocyte percent (LBXLYPCT), and lactate dehydrogenase (LBXSLDSI), which can indicate splenic dysfunction or disease. These features can help in screening for diseases of the spleen by assessing blood cell counts and other relevant markers."
"3C0Y,3C0Y,Other specified diseases of the blood or blood-forming organs",,,Possible,"The available features include key hematological parameters such as white blood cell count, red blood cell count, hemoglobin, hematocrit, and various white blood cell differentials (lymphocytes, monocytes, neutrophils, eosinophils, basophils). These parameters can help identify abnormalities in blood or blood-forming organs, which are essential for screening for various blood disorders."
"3C0Z,3C0Z,""Diseases of the blood or blood-forming organs, unspecified",,,Possible,"The available features include key hematological parameters such as white blood cell count, red blood cell count, hemoglobin, hematocrit, and platelet count, which are essential for screening various blood disorders. These features can help identify abnormalities indicative of diseases of the blood or blood-forming organs."
